1:[memory/buddy_malloc.cpp:62]blockShiftBit: 9(512), blockPow: 13(8192), buffer: 0x10e7ca000
2:[memory/buddy_malloc.cpp:84]size: 4096, pow(size): 3(8 blocks), idx: 1023, offset: 0, alloc: 0x10e7ca000
558:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
569:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
582:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
586:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
590:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
601:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
614:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
618:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
622:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
633:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
646:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
650:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
